title	wiki_id	booksummaries_index
One Day in the Life of Ivan Denisovich	395683	994
The Diamond Age: or, A Young Lady's Illustrated Primer	52224	164
A Canticle for Leibowitz	195945	573
Antigone (The Theban Plays, #3)	-1	-1
Brooklyn	25714542	14846
Wither (The Chemical Garden, #1)	31738907	16090
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis	-1	-1
Crossroads of Twilight (Wheel of Time, #10)	645474	1418
The Red Badge of Courage	61958	237
What If?: Serious Scientific Answers to Absurd Hypothetical Questions	-1	-1
Gardens of the Moon (The Malazan Book of the Fallen, #1)	1090537	2069
The Witch Of Portobello	11769978	10087
A Swiftly Tilting Planet (A Wrinkle in Time Quintet, #3)	1674779	2809
Gregor the Overlander (Underland Chronicles, #1)	4847916	5905
Sing You Home	31380111	15988
The Tale of the Body Thief (The Vampire Chronicles, #4)	153449	422
The Camel Club (Camel Club, #1)	-1	-1
Saving the World and Other Extreme Sports (Maximum Ride, #3)	10703495	9613
Blood of the Fold (Sword of Truth, #3)	1194749	2208
The Boleyn Inheritance (The Plantagenet and Tudor Novels, #10)	7340745	7923
A Spool of Blue Thread	-1	-1
The Underground Railroad	-1	-1
Masquerade (Blue Bloods, #2)	-1	-1
The Iron Queen (The Iron Fey, #3)	-1	-1
Losing It (Losing It, #1)	12816144	10511
The Racketeer	35629454	16535
Disgrace	335534	866
The House at Pooh Corner (Winnie-the-Pooh, #2)	750630	1585
The Black Prism (Lightbringer, #1)	28599406	15471
The Mermaid Chair	-1	-1
Frog and Toad Are Friends (Frog and Toad, #1)	45133	143
The Carnivorous Carnival (A Series of Unfortunate Events, #9)	664301	1469
Heist Society (Heist Society, #1)	23232654	14144
Behind Closed Doors	-1	-1
The Killer Angels (The Civil War Trilogy, #2)	826661	1669
Circus of the Damned (Anita Blake, Vampire Hunter, #3)	4491117	5583
Ptolemy's Gate (Bartimaeus, #3)	3124976	4335
The Island of Dr. Moreau	-1	-1
Opal (Lux, #3)	-1	-1
Zeitoun	23517201	14231
Out of My Mind	-1	-1
Rapture (Fallen, #4)	-1	-1
Switched (Trylle, #1)	32551555	16241
Doctor Zhivago	4608116	5700
Confess	1259759	2293
Pines (Wayward Pines, #1)	-1	-1
Disclosure	2002895	3157
Death Comes to Pemberley	34260936	16467
Ethan Frome	594538	1324
A Map of the World	3608582	4830
It Ends with Us	-1	-1
The Gift of the Magi	-1	-1
The Electric Kool-Aid Acid Test	-1	-1
Naked Lunch	265114	733
Dream Country (The Sandman #3)	79078	327
A Painted House	1703709	2832
The Left Hand of Darkness	23713951	14283
Let It Snow: Three Holiday Romances	31085557	15912
Full Dark, No Stars	-1	-1
Being Mortal: Medicine and What Matters in the End	28426	75
Intensity	4911172	5986
Chelsea Chelsea Bang Bang	-1	-1
A Doll's House	-1	-1
Hawaii	738767	1569
Revolutionary Road	-1	-1
Nick & Norah's Infinite Playlist	-1	-1
Rosencrantz and Guildenstern Are Dead	25830	69
Forever (The Wolves of Mercy Falls, #3)	5024225	6093
The Beach	155505	427
Saving CeeCee Honeycutt	155505	427
Deadlocked (Sookie Stackhouse, #12)	-1	-1
Everything's Eventual: 14 Dark Tales	-1	-1
Beezus and Ramona (Ramona, #1)	9273993	8999
The Farthest Shore (Earthsea Cycle, #3)	315900	828
Airframe	999996	1943
Magician: Apprentice (The Riftwar Saga, #1)	967902	1899
Bet Me	-1	-1
Long Walk to Freedom	-1	-1
Gray Mountain	-1	-1
The Power of One (The Power of One, #1)	-1	-1
The Maltese Falcon	60161	219
Night Road	676647	1490
Tripwire  (Jack Reacher, #3)	9649205	9202
Emotional Intelligence: Why It Can Matter More Than IQ	-1	-1
Changes (The Dresden Files, #12)	-1	-1
The Story of Ferdinand	-1	-1
Impulse (Impulse, #1)	-1	-1
Ivanhoe	15055	46
Ten Big Ones (Stephanie Plum, #10)	3766318	4981
The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)	9952744	9334
Paranormalcy (Paranormalcy, #1)	-1	-1
Eclipse: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #3)	-1	-1
The Shoemaker's Wife	-1	-1
Rise of the Evening Star (Fablehaven, #2)	11857241	10121
The Next Always (Inn BoonsBoro, #1)	1259759	2293
What I Talk About When I Talk About Running	1259759	2293
We'll Always Have Summer (Summer, #3)	-1	-1
Open	1259759	2293
Stormbreaker (Alex Rider, #1)	4515372	5599
Without Fail (Jack Reacher, #6)	9648897	9195
A Voice in the Wind (Mark of the Lion, #1)	-1	-1
The Twilight Saga Complete Collection  (Twilight, #1-4 + 3.5)	-1	-1
A Scanner Darkly	23281	63
Drive: The Surprising Truth About What Motivates Us	-1	-1
A Connecticut Yankee in King Arthur's Court	407392	1010
Batman: The Long Halloween	-1	-1
Nausea	1446696	2549
Wild at Heart: Discovering the Secret of a Man's Soul	-1	-1
Secrets of the Dragon Sanctuary (Fablehaven, #4)	-1	-1
Twelve Sharp (Stephanie Plum, #12)	27722629	15331
Wool (Wool, #1)	-1	-1
The Tombs of Atuan (Earthsea Cycle, #2)	78145	324
Turn Coat (The Dresden Files, #11)	17666005	12327
The Sign of Four	-1	-1
The Mitten	-1	-1
Memnoch the Devil (The Vampire Chronicles, #5)	153476	423
The Magician (The Secrets of the Immortal Nicholas Flamel, #2)	-1	-1
Click, Clack, Moo: Cows That Type	-1	-1
Iron Kissed (Mercy Thompson, #3)	-1	-1
Anna Dressed in Blood (Anna, #1)	15753413	11621
Temple of the Winds (Sword of Truth, #4)	1194751	2209
The True Confessions of Charlotte Doyle	-1	-1
A Reliable Wife	682421	1498
Something Wicked This Way Comes (Green Town, #2)	1325312	2382
Song of Solomon	1107288	2094
Red Storm Rising	175547	513
Peace Like a River	10762779	9637
Rant	5804157	6909
Shadow of the Hegemon (Ender's Shadow, #2)	241025	686
تراب الماس	-1	-1
The Poky Little Puppy (A Little Golden Book)	-1	-1
Tara Road	3373435	4575
The Call of the Wild/White Fang	703539	1513
Ignite Me (Shatter Me, #3)	-1	-1
Cross My Heart and Hope to Spy (Gallagher Girls, #2)	-1	-1
Blood Bound (Mercy Thompson, #2)	1864652	3006
Cold Days (The Dresden Files, #14)	-1	-1
The Friday Night Knitting Club (Friday Night Knitting Club, #1)	-1	-1
All Things Bright and Beautiful (All Creatures Great and Small)	-1	-1
Infinite Jest	870334	1757
Tangled (Tangled, #1)	-1	-1
The Day of the Triffids	65379	267
The Sisters Brothers	-1	-1
Secret Daughter	-1	-1
Fantastic Mr. Fox	-1	-1
Brida	-1	-1
A Room of One's Own	-1	-1
Warbreaker (Warbreaker, #1)	23483535	14218
Shakespeare's Sonnets	-1	-1
What Happened to Goodbye	-1	-1
Six of Crows (Six of Crows, #1)	-1	-1
13 Little Blue Envelopes (Little Blue Envelope, #1)	16245289	11790
Same Kind of Different as Me	4451267	5546
Carry On	-1	-1
Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World	-1	-1
Beneath This Man (This Man, #2)	-1	-1
Prince of Thorns (The Broken Empire, #1)	-1	-1
The Book of Ruth	3608779	4840
Galápagos	682421	1498
Next	6965260	7659
The House of the Scorpion (Matteo Alacran, #1)	1590659	2718
Leaves of Grass	-1	-1
Blue Dahlia (In the Garden, #1)	-1	-1
Lady Chatterley's Lover	175656	515
The Magician King (The Magicians, #2)	32691672	16259
Liar's Poker	-1	-1
The Richest Man in Babylon	-1	-1
Salem Falls	13232532	10672
Belgarath the Sorcerer	-1	-1
The Great Dune Trilogy  	71416	298
My Name Is Lucy Barton	-1	-1
Garden Spells (Waverley Family, #1)	-1	-1
Ghost Story (The Dresden Files,  #13)	7685271	8096
Narrative of the Life of Frederick Douglass	1230789	2255
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys	-1	-1
Pawn of Prophecy (The Belgariad, #1)	-1	-1
Lean Mean Thirteen (Stephanie Plum, #13)	-1	-1
The Jungle Books	-1	-1
Glass Houses (The Morganville Vampires, #1)	-1	-1
Captivating: Unveiling the Mystery of a Woman's Soul	-1	-1
The Dark Tower: The Gunslinger Born	-1	-1
The Lake House	1590712	2719
A Tale for the Time Being	-1	-1
I Hope They Serve Beer in Hell (Tucker Max, #1)	-1	-1
Rule (Marked Men, #1)	1618152	2745
South of the Border, West of the Sun	-1	-1
Mother Night	303465	796
Influence: The Psychology of Persuasion	-1	-1
The Fall of the House of Usher and Other Tales 	543278	1243
Harriet the Spy (Harriet the Spy #1)	67838	276
The Paying Guests	-1	-1
Forever Odd (Odd Thomas, #2)	4923418	6008
At Home: A Short History of Private Life	-1	-1
Sushi for Beginners	-1	-1
Still Life (Chief Inspector Armand Gamache, #1)	-1	-1
Watermelon (Walsh Family, #1)	1473552	2574
The Kitchen God's Wife	7956168	8284
Let the Right One In	11052347	9787
The Rise of Nine (Lorien Legacies, #3)	33825369	16420
Essential Tales and Poems	-1	-1
The Second Summer of the Sisterhood (Sisterhood, #2)	-1	-1
Phantoms	1671094	2803
Amy & Roger's Epic Detour	-1	-1
My Utmost for His Highest	-1	-1
The Wee Free Men (Discworld, #30; Tiffany Aching, #1)	275025	750
Written in My Own Heart's Blood (Outlander, #8)	-1	-1
Nightshade (Nightshade #1; Nightshade World #4)	1039302	1999
Alice's Adventures in Wonderland	52853	166
Dragon Rider (Dragon Rider, #1)	2015899	3175
The Long Dark Tea-Time of the Soul (Dirk Gently, #2)	140648	393
Uprooted	-1	-1
Seveneves	-1	-1
Armada	-1	-1
The Desert Spear (Demon Cycle, #2)	-1	-1
The Man in the Brown Suit	1914386	3075
The Summons	1029351	1980
Endurance: Shackleton's Incredible Voyage	-1	-1
Size 12 Is Not Fat (Heather Wells, #1)	-1	-1
Dark Matter	-1	-1
Glass Sword (Red Queen, #2)	-1	-1
When You Reach Me	-1	-1
The Bonfire of the Vanities	498885	1170
In the Unlikely Event	-1	-1
Death on the Nile (Hercule Poirot, #17)	564906	1283
Shiloh (Shiloh, #1)	1845545	2976
Siege and Storm (Shadow and Bone, #2)	-1	-1
The Redbreast (Harry Hole, #3)	901778	1809
Leviathan (Leviathan, #1)	-1	-1
Hide and Seek	5364408	6477
The Love Dare	-1	-1
Goodnight Nobody	-1	-1
The Death and Life of Charlie St. Cloud	23118454	14110
How to Stop Worrying and Start Living	-1	-1
Born in Fire (Born In Trilogy, #1)	5356295	6454
Animal Dreams	2066549	3222
Reason to Breathe (Breathing, #1)	-1	-1
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)	-1	-1
If Tomorrow Comes (Tracy Whitney Series, #1)	-1	-1
M.C. Escher: The Graphic Work	-1	-1
Pope Joan	-1	-1
Birdsong	1163002	2168
Faith of the Fallen (Sword of Truth, #6)	1908763	3072
Keys to the Demon Prison (Fablehaven, #5)	24423536	14503
Moonwalking with Einstein: The Art and Science of Remembering Everything	-1	-1
While I Was Gone	-1	-1
4th of July (Women's Murder Club, #4)	5846447	6937
The Time Paradox (Artemis Fowl, #6)	-1	-1
Clifford the Big Red Dog	-1	-1
Bitterblue (Graceling Realm, #3)	-1	-1
The Sky Is Everywhere	-1	-1
Wyrd Sisters (Discworld, #6; Witches #2)	-1	-1
Real (Real, #1)	1259759	2293
NOS4A2	-1	-1
The Tenant of Wildfell Hall	194869	572
The Black Stallion (The Black Stallion, #1)	-1	-1
Reckless (Thoughtless, #3)	29469346	15618
The Grim Grotto (A Series of Unfortunate Events, #11)	664303	1471
Strega Nona	-1	-1
Playing for Keeps (Neighbor from Hell, #1)	-1	-1
Art and Fear: Observations on the Perils (and Rewards) of Artmaking	-1	-1
Frida: A Biography of Frida Kahlo	-1	-1
Bitten (Women of the Otherworld, #1)	1612950	2740
Born at Midnight (Shadow Falls, #1)	-1	-1
Don't Let the Pigeon Drive the Bus!	-1	-1
The Dream Thieves (The Raven Cycle, #2)	-1	-1
The Portrait of a Lady	603551	1339
The Raven	-1	-1
The Yellow Wallpaper and Other Stories	-1	-1
Before the Fall	-1	-1
هيبتا	-1	-1
The Calvin and Hobbes Tenth Anniversary Book	-1	-1
Dreamland	-1	-1
The Art Forger	-1	-1
Austenland (Austenland, #1)	12185146	10274
Half of a Yellow Sun	18598123	12596
One Night at the Call Center	3829882	5022
At the Water's Edge	-1	-1
The Running Man	26467887	15035
Gilead (Gilead, #1)	2778204	3992
The Crying of Lot 49	155638	432
Edge of Eternity (The Century Trilogy, #3)	-1	-1
Demonglass (Hex Hall, #2)	-1	-1
Ubik	-1	-1
The Sword of Shannara (The Original Shannara Trilogy, #1)	808425	1647
Hannibal (Hannibal Lecter, #3)	5189402	6251
The Awakening / The Struggle (The Vampire Diaries, #1-2)	430840	1063
Three Wishes	-1	-1
Night World, No. 3 (Night World, #7-9)	-1	-1
Fall on Your Knees	2041509	3201
The Scorpio Races	-1	-1
Morning Star (Red Rising, #3)	-1	-1
Mossflower (Redwall, #2)	1121344	2115
Furiously Happy: A Funny Book About Horrible Things	1121344	2115
Visions of Sugar Plums (Stephanie Plum, #8.5)	-1	-1
Magician: Master (The Riftwar Saga, #2)	967902	1899
On the Island (On the Island, #1)	20568107	13328
Left Neglected	-1	-1
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family	6385549	7288
Redshirts	-1	-1
Sahara (Dirk Pitt, #11)	3345895	4549
One Foot in the Grave (Night Huntress, #2)	-1	-1
The Last Anniversary	3467188	4668
Hunger (Gone, #2)	20128213	13185
Fearless Fourteen (Stephanie Plum, #14)	-1	-1
Revolution 2020: Love, Corruption, Ambition	33268882	16328
A Bear Called Paddington (Paddington, #1)	-1	-1
Flawless (Pretty Little Liars, #2)	-1	-1
Ramona Quimby, Age 8 (Ramona, #6)	5959933	7038
The General's Daughter	-1	-1
The Hostile Hospital (A Series of Unfortunate Events, #8)	-1	-1
InuYasha: Turning Back Time (InuYasha, #1)	-1	-1
The Omen	-1	-1
Blue Moon (The Immortals, #2)	23948229	14356
The Innocent (Will Robie, #1)	-1	-1
Child 44 (Leo Demidov, #1)	-1	-1
These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)	-1	-1
The Hypnotist's Love Story	-1	-1
The Devil and Miss Prym (On the Seventh Day, #3)	-1	-1
The Kissing Hand	8626985	8598
Shift (Silo, #2)	851212	1714
Worth Dying For (Jack Reacher, #15)	27658768	15319
Look Me in the Eye: My Life with Asperger's	890626	1788
Fantasy Lover (Dark-Hunterverse #1)	-1	-1
Sundays at Tiffany's	13470974	10790
Perfect Match	-1	-1
Prep	-1	-1
Scar Tissue	-1	-1
Alias Grace	-1	-1
Captivated by You (Crossfire, #4)	853813	1722
Illusions: The Adventures of a Reluctant Messiah	3330816	4539
Soulless (Parasol Protectorate, #1)	28911950	15528
Just One Day (Just One Day, #1)	25170748	14711
Wake (Wake, #1)	-1	-1
The Emperor of All Maladies: A Biography of Cancer	-1	-1
Glass (Crank, #2)	21777525	13704
Memories of My Melancholy Whores	1441387	2541
Only Time Will Tell (The Clifton Chronicles, #1)	31151251	15934
The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams	-1	-1
Magical Thinking: True Stories	14029788	11048
In the Hand of the Goddess (Song of the Lioness, #2)	5713804	6836
3rd Degree (Women's Murder Club, #3)	6802407	7519
Bird by Bird: Some Instructions on Writing and Life	1219913	2243
Ruby Red (Precious Stone Trilogy, #1)	-1	-1
Shadowland (The Immortals, #3)	17927963	12425
Heir to the Empire (Star Wars: The Thrawn Trilogy #1)	1096466	2075
Lioness Rampant (Song of the Lioness, #4)	5713852	6838
Outbreak (Dr. Marissa Blumenthal, #1)	2061378	3220
You Can Heal Your Life	14335797	11154
The Vacationers	-1	-1
The Hangman's Daughter (The Hangman's Daughter, #1)	-1	-1
I Am Legend	45492	146
Dealing with Dragons (Enchanted Forest Chronicles, #1)	4886068	5935
Running Blind (Jack Reacher, #4)	9648490	9193
Rules of Prey (Lucas Davenport, #1)	-1	-1
Ashes to Ashes (Kovac and Liska, #1)	-1	-1
The Yiddish Policemen's Union	7534826	8031
The Aviator's Wife	-1	-1
A Bad Case of Stripes	-1	-1
The Affair (Jack Reacher, #16)	-1	-1
The Elements of Style	-1	-1
The Turn of the Screw	240335	684
Best Friends Forever	-1	-1
Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)	-1	-1
The Mote in God's Eye	345005	891
The Snowman (Harry Hole, #7)	-1	-1
Stoner	-1	-1
Wicked: The Grimmerie	1240426	2267
As You Like It	-1	-1
Preacher, Volume 1: Gone to Texas	-1	-1
Cyrano de Bergerac	-1	-1
The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures	-1	-1
Bone Crossed (Mercy Thompson, #4)	-1	-1
The Indigo Spell (Bloodlines, #3)	-1	-1
Dreamfever (Fever, #4)	-1	-1
Case Histories (Jackson Brodie #1)	-1	-1
Release Me (Stark Trilogy, #1)	317137	830
Wedding Night	187113	547
The Doll's House (The Sandman #2)	-1	-1
Pollyanna (Pollyanna, #1)	965808	1895
The Lost Boy (Dave Pelzer #2)	1617469	2744
Dust (Silo, #3)	-1	-1
Lone Wolf	-1	-1
Nightmares and Dreamscapes	-1	-1
Shadowfever (Fever, #5)	-1	-1
The Associate	18719930	12675
Son (The Giver, #4)	-1	-1
The Sandman: Overture	-1	-1
Blood Song (Raven's Shadow, #1)	-1	-1
Rules of Attraction (Perfect Chemistry, #2)	599676	1335
The Merry Adventures of Robin Hood	3639603	4862
Less Than Zero	677885	1493
Someone Knows My Name	20568107	13328
The Arabian Nights	-1	-1
Faithful Place (Dublin Murder Squad, #3)	-1	-1
Euphoria	-1	-1
Rachel's Holiday (Walsh Family, #2)	1259759	2293
The Caves of Steel (Robot #1)	60129	212
Dance Dance Dance (The Rat, #4)	3476270	4685
The Mouse and the Motorcycle (Ralph S. Mouse, #1)	2316577	3520
The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)	23855758	14326
The Elfstones of Shannara  (The Original Shannara Trilogy, #2)	811486	1649
Dash & Lily's Book of Dares (Dash & Lily, #1)	-1	-1
The Luminaries	-1	-1
If You Give a Moose a Muffin	-1	-1
Velocity	4361460	5476
Barrel Fever: Stories and Essays	-1	-1
Reaper Man (Discworld, #11; Death, #2)	552085	1262
Piercing the Darkness (Darkness, #2)	486374	1145
Made to Stick: Why Some Ideas Survive and Others Die	-1	-1
Alive: The Story of the Andes Survivors	-1	-1
On Beauty	7671306	8087
Battlefield of the Mind: Winning the Battle in Your Mind	-1	-1
Dance Upon the Air (Three Sisters Island, #1)	-1	-1
Castle of Wizardry (The Belgariad, #4)	-1	-1
Lover Unleashed (Black Dagger Brotherhood, #9)	-1	-1
أحببتك أكثر مما ينبغي	-1	-1
Heat Wave (Nikki Heat, #1)	-1	-1
Kindle Paperwhite User's Guide	-1	-1
A Widow for One Year	-1	-1
Out of the Silent Planet (Space Trilogy, #1)	337252	869
Charlie and the Great Glass Elevator (Charlie Bucket, #2)	382176	970
If You Give a Pig a Pancake 	-1	-1
The Wasp Factory	58619	194
Night Film	-1	-1
Stories I Only Tell My Friends	-1	-1
Crazy Rich Asians (Crazy Rich Asians #1)	-1	-1
Rebel Angels (Gemma Doyle, #2)	-1	-1
Bloodfever (Fever, #2)	-1	-1
Faefever (Fever, #3)	-1	-1
My Sister's Grave (Tracy Crosswhite #1)	-1	-1
Library of Souls (Miss Peregrine's Peculiar Children, #3)	-1	-1
Howards End	-1	-1
Hellboy, Vol. 1: Seed of Destruction (Hellboy, #1)	-1	-1
The Evolution of Mara Dyer (Mara Dyer, #2)	-1	-1
The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)	-1	-1
The Man in the Iron Mask (The D'Artagnan Romances, #3.3)	-1	-1
The Haunting of Hill House	1964153	3123
The Rum Diary	-1	-1
Little Town on the Prairie  (Little House, #7)	12861046	10531
I Capture the Castle	3023020	4228
Destined (House of Night, #9)	33304926	16333
Finger Lickin' Fifteen (Stephanie Plum, #15)	-1	-1
Women	2436913	3637
North and South (North and South, #1)	-1	-1
Silver Borne (Mercy Thompson, #5)	-1	-1
The Bourne Ultimatum (Jason Bourne, #3)	11620412	10030
Fool's Errand (Tawny Man, #1)	1383951	2463
The Young Elites (The Young Elites, #1)	-1	-1
Jewels of the Sun (Gallaghers of Ardmore, #1)	-1	-1
Meditations	-1	-1
Peter and the Starcatchers (Peter and the Starcatchers, #1)	3380081	4583
Collapse: How Societies Choose to Fail or Succeed	106086	382
Possession	1713869	2840
Revelations (Blue Bloods, #3)	-1	-1
Without Remorse (Jack Ryan Universe, #1)	235094	674
The Interpretation of Dreams	-1	-1
Ghost Story	7685271	8096
The Penultimate Peril (A Series of Unfortunate Events, #12)	2929349	4149
I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away	889073	1784
The End (A Series of Unfortunate Events, #13)	2459222	3664
The Liars' Club	-1	-1
Dead Ever After (Sookie Stackhouse, #13)	-1	-1
The Illustrated Man	-1	-1
Naked (The Blackstone Affair, #1)	265114	733
Annihilation (Southern Reach, #1)	-1	-1
Breathe (Sea Breeze, #1)	-1	-1
The Runaway Bunny	188341	552
The Grand Design	-1	-1
The Innocent Man: Murder and Injustice in a Small Town	-1	-1
The Bachman Books	-1	-1
Zealot: The Life and Times of Jesus of Nazareth	-1	-1
Soul of the Fire (Sword of Truth, #5)	1194752	2210
The Art of Hearing Heartbeats	-1	-1
Consider Phlebas (Culture, #1)	58622	197
The Magic of Thinking Big	-1	-1
The Vampire Armand (The Vampire Chronicles, #6)	893047	1792
Forever Too Far (Rosemary Beach, #3; Too Far, #3)	246554	701
A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)	713625	1527
Pinocchio	-1	-1
Grave Mercy (His Fair Assassin, #1)	-1	-1
The Power of a Praying Wife	165026	485
Tropic of Cancer	853813	1722
The Hour I First Believed	2423068	3628
Harry Potter: Film Wizardry	-1	-1
The Death of Ivan Ilych	-1	-1
Circling the Sun	-1	-1
Travels with Charley: In Search of America	-1	-1
The Dovekeepers	-1	-1
The Republic of Thieves (Gentleman Bastard, #3)	-1	-1
The Thief Lord	-1	-1
World After (Penryn & the End of Days, #2)	-1	-1
Brother Odd (Odd Thomas, #3)	-1	-1
Black Like Me	-1	-1
Snuff	-1	-1
Jack & Jill (Alex Cross, #3)	-1	-1
Saturday	-1	-1
When the Bough Breaks (Alex Delaware, #1)	-1	-1
The Bridges of Madison County	-1	-1
Gone Tomorrow (Jack Reacher, #13)	-1	-1
The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)	-1	-1
Bring Up the Bodies (Thomas Cromwell, #2)	-1	-1
The Maze of Bones  (The 39 Clues, #1)	-1	-1
How to Cook Everything: Simple Recipes for Great Food	-1	-1
The Twilight Collection (Twilight, #1-3)	-1	-1
Concerning the Spiritual in Art	-1	-1
Forrest Gump (Forrest Gump, #1)	-1	-1
The Fall	-1	-1
Even Cowgirls Get the Blues	-1	-1
The Moonstone	-1	-1
If on a Winter's Night a Traveler	-1	-1
Son of a Witch (The Wicked Years, #2)	-1	-1
On Chesil Beach	-1	-1
M is for Malice (Kinsey Millhone, #13)	-1	-1
Point of Origin (Kay Scarpetta, #9)	-1	-1
Sarah, Plain and Tall (Sarah, Plain and Tall, #1)	-1	-1
عزازيل	-1	-1
Bloodsucking Fiends (A Love Story, #1)	-1	-1
Squirrel Seeks Chipmunk: A Modest Bestiary	-1	-1
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are	-1	-1
Commonwealth	-1	-1
The Van Alen Legacy (Blue Bloods, #4)	-1	-1
Blueberries for Sal	-1	-1
Losing Hope (Hopeless, #2)	-1	-1
Lisey's Story	-1	-1
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife	-1	-1
Men at Arms (Discworld, #15; City Watch #2)	-1	-1
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible	-1	-1
God Emperor of Dune (Dune Chronicles #4)	-1	-1
The One & Only	-1	-1
The Valley of Horses (Earth's Children, #2)	-1	-1
Six Years	-1	-1
Ramona the Pest (Ramona, #2)	-1	-1
Night World, No. 2 (Night World, #4-6)	-1	-1
Geek Love	-1	-1
The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)	-1	-1
All the King's Men	-1	-1
Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)	-1	-1
The Woods	-1	-1
New Spring (Wheel of Time, #0)	-1	-1
The Litigators	-1	-1
My Grandmother Asked Me to Tell You She's Sorry	-1	-1
American Assassin (Mitch Rapp, #1)	-1	-1
Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead	-1	-1
Burial Rites	-1	-1
Fingersmith	-1	-1
A Year in Provence	-1	-1
The Miraculous Journey of Edward Tulane	-1	-1
The Last Letter from Your Lover	-1	-1
Gorky Park (Arkady Renko, #1)	-1	-1
The House Girl	-1	-1
Out of the Dust	-1	-1
Queen of Babble (Queen of Babble, #1)	-1	-1
The Third Wheel (Diary of a Wimpy Kid, #7)	-1	-1
Code Name Verity (Code Name Verity, #1)	-1	-1
Burned (Burned, #1)	-1	-1
Master of the Game	-1	-1
The Body Farm (Kay Scarpetta, #5)	-1	-1
The Boy Next Door (Boy, #1)	-1	-1
The Epic of Gilgamesh	-1	-1
The Luxe (Luxe, #1)	-1	-1
The Complete Tales	-1	-1
American Pastoral (The American Trilogy, #1)	-1	-1
Big Magic: Creative Living Beyond Fear	-1	-1
Skin Game (The Dresden Files, #15)	-1	-1
The Qur'an / القرآن الكريم	-1	-1
The Darkest Night (Lords of the Underworld #1)	-1	-1
Anathem	-1	-1
The Lacuna	-1	-1
Hogfather (Discworld, #20; Death, #4)	-1	-1
Open House	-1	-1
The Silver Star	-1	-1
The Hotel New Hampshire	-1	-1
The Laughing Corpse (Anita Blake, Vampire Hunter, #2)	-1	-1
Key of Light (Key Trilogy, #1)	-1	-1
Identical	-1	-1
The Stand: Soul Survivors	-1	-1
Smokin' Seventeen (Stephanie Plum, #17)	-1	-1
The Sneetches and Other Stories	-1	-1
Polar Bear, Polar Bear, What Do You Hear?	-1	-1
Demian. Die Geschichte von Emil Sinclairs Jugend	-1	-1
God Bless You, Mr. Rosewater	-1	-1
Skip Beat!, Vol. 01	-1	-1
Batman: The Dark Knight Returns #1	-1	-1
The Harry Potter Collection 1-4 (Harry Potter, #1-4)	-1	-1
The Windup Girl	-1	-1
The Importance of Being Earnest and Other Plays	-1	-1
Isla and the Happily Ever After (Anna and the French Kiss, #3)	-1	-1
Magic Bites (Kate Daniels, #1)	-1	-1
This Man Confessed (This Man, #3)	-1	-1
Suite Française	-1	-1
The Letters of Vincent van Gogh	-1	-1
Sourcery (Discworld, #5; Rincewind #3)	-1	-1
Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World	-1	-1
Batman: Arkham Asylum - A Serious House on Serious Earth	-1	-1
P.S. I Still Love You (To All the Boys I've Loved Before, #2)	-1	-1
Memory Man (Amos Decker, #1)	-1	-1
Mudbound	-1	-1
Black Hawk Down	-1	-1
A Darker Shade of Magic (Shades of Magic, #1)	-1	-1
The Lost City of Z: A Tale of Deadly Obsession in the Amazon	-1	-1
Firefight (The Reckoners, #2)	-1	-1
The Magicians' Guild (Black Magician Trilogy, #1)	-1	-1
The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)	-1	-1
61 Hours (Jack Reacher, #14)	-1	-1
Cut	-1	-1
George's Marvellous Medicine	-1	-1
A Thousand Acres	-1	-1
The Book of Three (The Chronicles of Prydain, #1)	-1	-1
Cry Wolf (Alpha & Omega, #1)	-1	-1
Olivia	-1	-1
Plainsong (Plainsong, #1)	-1	-1
Ghost World	-1	-1
